Sa,Sd,Sc
0.624543289,0.790280513,0.627982812
0.628363048,0.792693539,0.630228291
0.737179798,0.858591753,0.762497273
0.776586403,0.881241399,0.788868455
0.741602123,0.861163238,0.748183896
0.793276428,0.890660669,0.75832618
0.67083175,0.819043192,0.690294895
0.839392428,0.916183621,0.778469086
0.731774947,0.855438453,0.728924906
0.828179297,0.910043569,0.814433624
0.680299431,0.824802662,0.671788232
0.831028888,0.911607858,0.824290788
0.762917605,0.873451547,0.786744257
0.552839694,0.743531905,0.539211663
0.887028087,0.941821685,0.88720422
0.60387635,0.777094814,0.61332003
0.551414468,0.74257287,0.597552012
0.472778999,0.687589266,0.501329426
0.821270646,0.906239839,0.817196869
0.836361793,0.914528181,0.818134895
0.700120374,0.836731961,0.721547256
0.662808359,0.814130431,0.699369551
0.76557204,0.874969737,0.759394717
0.649720299,0.806052293,0.665399938
0.765599317,0.874985324,0.739269446
0.716137159,0.846248875,0.671306802
0.72264021,0.850082472,0.739990224
0.798423455,0.893545441,0.821440206
0.563414449,0.750609385,0.545551879
0.457602663,0.676463349,0.52215264
0.702822405,0.838345039,0.708065449
0.621288176,0.788218356,0.630491338
0.671805958,0.819637699,0.662693388
0.707927417,0.841384227,0.740959474
0.603822958,0.777060459,0.636397723
0.778171534,0.882140314,0.792034338
0.780040481,0.883199004,0.749908911
0.601789705,0.775751058,0.627250071
0.792297522,0.890110961,0.800199659
0.744614449,0.862910452,0.721371701
0.633497311,0.795925443,0.619224087
0.616596379,0.785236511,0.663619449
0.748156979,0.86496068,0.730998579
0.682952212,0.826409228,0.666319708
0.830712481,0.911434299,0.826525357
0.710906054,0.84315245,0.755892753
0.651553005,0.807188333,0.658345554
0.783840393,0.885347611,0.721760705
0.75510753,0.868969234,0.767353672
0.725386084,0.851696004,0.739610158
0.666352787,0.816304347,0.649207922
0.74115383,0.860902916,0.741159988
0.602711293,0.776344829,0.618400217
0.766960893,0.875763035,0.734562003
0.651167484,0.806949493,0.66190406
0.560538311,0.748691065,0.536674517
0.867501837,0.931397787,0.865255604
0.759477215,0.871479899,0.78140258
0.841212671,0.917176466,0.853381472
0.682870583,0.826359839,0.696155564
0.639490494,0.799681495,0.684004776
0.725154623,0.851560111,0.733374242
0.750140006,0.866106232,0.679241514
0.76857534,0.876684287,0.777304981
0.524240915,0.72404483,0.531394268
0.748264674,0.865022932,0.807447197
0.443512414,0.665967277,0.475035426
0.718741725,0.847786367,0.755963705
0.749035194,0.865468194,0.782031637
0.649634459,0.805999044,0.646415486
0.772815355,0.879099172,0.71990746
0.805211804,0.897335948,0.769853837
0.811788063,0.900992821,0.818025537
0.692943958,0.832432554,0.715593374
0.849947013,0.921925709,0.860925265
0.619010512,0.786772211,0.640364132
0.608924769,0.780336318,0.642222537
0.758436165,0.870882406,0.772331721
0.707470292,0.841112532,0.722229358
0.721533216,0.849431113,0.731358557
0.683558011,0.826775672,0.644971851
0.721691479,0.849524266,0.739652895
0.854752744,0.92452839,0.850112332
0.682891292,0.826372369,0.667565108
0.827245422,0.909530331,0.811795135
0.691801059,0.83174579,0.69862885
0.805977751,0.897762636,0.802932382
0.82430782,0.907913994,0.785389089
0.546614016,0.739333494,0.557498755
0.713270028,0.844553153,0.707142518
0.731143328,0.855069195,0.723315011
0.63929897,0.799561736,0.601417514
0.710648751,0.842999853,0.757445189
0.590893791,0.768696163,0.60540349
0.644021828,0.802509706,0.671642814
0.74466498,0.862939731,0.750608
0.689102239,0.830121822,0.734035401
0.630518488,0.794051943,0.642081892
0.773392612,0.879427434,0.761422864
0.723592222,0.850642241,0.726980077
0.729690352,0.854219148,0.711534107
0.78300923,0.884878088,0.781460364
0.750295969,0.866196264,0.768883526
0.72696419,0.85262195,0.716057062
0.747480486,0.864569538,0.750052818
0.850792163,0.922383956,0.832283771
0.687717677,0.829287451,0.682837204
0.658084177,0.811223876,0.667395558
0.69383629,0.832968361,0.688861735
0.765256226,0.874789246,0.73873005
0.699984064,0.836650503,0.680609867
0.572299065,0.756504504,0.583537557
0.684147328,0.827131989,0.673904974
0.597354473,0.772887102,0.578785542
0.654743148,0.809162003,0.690679518
0.681966871,0.825812855,0.662851081
0.756378006,0.869699952,0.78116012
0.695926297,0.834221971,0.724382267
0.693802325,0.832947972,0.676059983
0.812655117,0.901473858,0.783736252
0.628990349,0.793089118,0.601998993
0.698323045,0.835657253,0.702698891
0.882356618,0.939338394,0.88257785
0.611205355,0.781796236,0.592251463
0.7040182,0.839057924,0.724433441
0.823731801,0.907596717,0.83000355
0.781415355,0.883977011,0.762528952
0.68696352,0.828832625,0.711979327
0.73279583,0.856034947,0.744685167
0.770087084,0.877546058,0.779362178
0.85587996,0.925137806,0.865969325
0.625303735,0.79076149,0.661113989
0.666616997,0.816466164,0.659505299
0.563796504,0.750863839,0.560706681
0.800752797,0.894847918,0.793543567
0.679779491,0.824487411,0.676361388
0.728242693,0.853371369,0.73068997
0.641048109,0.8006548,0.66079044
0.625605777,0.790952449,0.636005552
0.692211249,0.831992337,0.686885552
0.715889469,0.846102517,0.73248086
0.689575606,0.830406892,0.726142573
0.728329742,0.85342237,0.679303686
0.824957166,0.908271527,0.815212144
0.583045532,0.763574182,0.596466008
0.621678165,0.788465703,0.611916022
0.473888258,0.688395423,0.484790322
0.754276496,0.86849093,0.761793325
0.602974907,0.776514589,0.622318358
0.735810402,0.857793916,0.729684706
0.449790624,0.670664316,0.488735507
0.633536906,0.795950316,0.616026689
0.842476861,0.917865383,0.825905231
0.634878082,0.796792371,0.615989514
0.566368602,0.752574649,0.545161898
0.533478949,0.730396432,0.55994242
0.495968807,0.704250529,0.492765089
0.899435073,0.948385509,0.905047419
0.715021441,0.845589405,0.688398106
0.839392556,0.916183691,0.812767006
0.730058068,0.854434356,0.72292456
0.624364979,0.790167691,0.654614533
0.759694704,0.871604672,0.765807401
0.834973369,0.913768772,0.839424298
0.641497904,0.800935643,0.668893408
0.648612005,0.805364517,0.64015
0.595740795,0.771842468,0.657564041
0.713131033,0.84447086,0.725869376
0.695728763,0.834103568,0.705327132
0.763087364,0.873548719,0.770315852
0.757519226,0.870355804,0.74872116
0.698856014,0.835976084,0.674927128
0.615064186,0.784260279,0.619176339
0.558999211,0.747662498,0.593019418
0.823709865,0.907584632,0.805656481
0.82868609,0.910321971,0.801236067
0.513583045,0.716647085,0.47725139
0.628647271,0.792872796,0.669224481
0.503245829,0.709398216,0.508372911
0.377118815,0.614100004,0.392845969
0.556600331,0.74605652,0.56731564
0.573725788,0.757446888,0.563954906
0.679654364,0.824411526,0.719193632
0.66263088,0.814021425,0.659911425
0.703269777,0.838611815,0.680138596
0.772027092,0.878650723,0.746857019
0.777473069,0.881744333,0.782153294
0.576539096,0.759301716,0.611198289
0.713849911,0.844896391,0.714975158
0.595111157,0.77143448,0.553022863
0.709829848,0.842514005,0.716950507
0.680937473,0.825189356,0.663008143
0.682805658,0.826320554,0.671388801
0.772648228,0.879004112,0.768506637
0.562847976,0.750231948,0.535737874
0.80209108,0.895595377,0.813912722
0.742814329,0.86186677,0.75696164
0.807729485,0.898737717,0.821114168
0.598339229,0.773523903,0.621723498
0.757954092,0.870605589,0.781726162
0.723775987,0.850750249,0.778492102
0.860326576,0.927537911,0.822895461
0.634343347,0.796456745,0.611670402
0.833634791,0.913036029,0.826444515
0.845778763,0.919662309,0.849501788
0.761456988,0.872615028,0.765698373
0.724453405,0.851148286,0.741574208
0.808940533,0.899411215,0.83242374
0.579628883,0.761333622,0.642127061
0.653502247,0.808394858,0.672980391
0.745681266,0.863528382,0.743364531
0.844583348,0.919012159,0.842271333
0.593714276,0.770528569,0.639094305
0.711560668,0.843540555,0.74247739
0.81881979,0.904886617,0.816913482
0.814612042,0.902558609,0.81511599
0.686555585,0.828586498,0.660561157
0.85133522,0.922678286,0.850889101
0.764883565,0.87457622,0.812813616
0.768956449,0.876901619,0.776495733
0.755678902,0.869297936,0.794241701
0.734926675,0.857278645,0.699154462
0.770055864,0.87752827,0.771750112
0.500108632,0.707183591,0.48555007
0.574956071,0.758258578,0.612513998
0.788567294,0.888013116,0.794029908
0.840628093,0.916857728,0.832372616
0.771183435,0.878170504,0.774291299
0.808382568,0.899100978,0.77477915
0.75276234,0.867618776,0.749134449
0.806289989,0.897936517,0.774442764
0.654174675,0.808810655,0.672091293
0.750395484,0.866253707,0.735513913
0.810544841,0.900302638,0.789722549
0.379495151,0.616031777,0.386539233
0.747274536,0.864450425,0.751355844
0.799793831,0.894311932,0.799462096
0.770954947,0.878040402,0.772780419
0.787165878,0.887223691,0.793252182
0.517783267,0.719571586,0.521222205
0.781352428,0.883941417,0.793907949
0.669868429,0.818454903,0.675877095
0.872932413,0.934308521,0.865022444
0.627186943,0.791951352,0.643701398
0.714568855,0.845321746,0.690362928
0.834606526,0.913568019,0.84692151
0.74596745,0.863694072,0.79031271
0.846324014,0.919958702,0.850065423
0.735449651,0.857583612,0.707064662
0.722691326,0.850112537,0.728634801
0.610316314,0.781227441,0.600315397
0.680429063,0.824881242,0.66202152
0.815302027,0.902940766,0.819932491
0.71455825,0.845315474,0.690606789
0.610170501,0.781134112,0.599574281
0.735546966,0.857640348,0.7356842
0.575571553,0.758664322,0.542659001
0.530110449,0.728086842,0.539178153
0.880535469,0.938368515,0.84686344
0.497060106,0.705024897,0.499650631
0.807826898,0.89879191,0.802130071
0.817534709,0.90417626,0.831092758
0.741647996,0.861189872,0.742958039
0.571363568,0.755885949,0.595874166
0.55975402,0.748167107,0.534350473
0.722684935,0.850108778,0.679031267
0.759320795,0.871390151,0.753295925
0.676079167,0.822240334,0.664665755
0.82303016,0.907210097,0.815875761
0.754020004,0.868343252,0.738991122
0.70204199,0.837879461,0.680541795
0.716174872,0.846271158,0.680624658
0.649844903,0.806129582,0.608534182
0.654675545,0.809120229,0.681686571
0.472809632,0.687611541,0.493408332
0.780644585,0.883540936,0.82240169
0.657544702,0.810891301,0.673035142
0.617048141,0.785524119,0.646021369
0.645004604,0.803121786,0.646360462
0.685928264,0.828207863,0.697097901
0.668369002,0.817538379,0.687133084
0.732377943,0.855790829,0.721994105
0.732786557,0.85602953,0.687109714
0.605664205,0.77824431,0.604402222
0.584535283,0.764549072,0.591902324
0.560431249,0.748619563,0.591728548
0.335031468,0.578819029,0.346298548
0.746295159,0.863883765,0.74450203
0.623526771,0.789637114,0.624556431
0.675139588,0.821668782,0.64603715
0.586057093,0.765543658,0.584846123
0.784878709,0.885933806,0.765585268
0.55537267,0.745233299,0.486822428
0.75337183,0.867969948,0.774172044
0.741337667,0.861009679,0.751480474
0.720106276,0.848590759,0.733044397
0.801458638,0.895242223,0.831586758
0.617004176,0.785496134,0.599748323
0.783109581,0.884934789,0.780405898
0.658368465,0.811399079,0.648688842
0.795832308,0.892094338,0.785536909
0.762512695,0.873219729,0.718634081
0.811588353,0.900881986,0.76735383
0.804746563,0.897076676,0.813422131
0.819083757,0.905032462,0.807242314
0.751940643,0.86714511,0.741918812
0.686726885,0.828689861,0.714325636
0.778791378,0.882491574,0.747164169
0.664112643,0.814931066,0.671882221
0.649090662,0.80566163,0.652902505
0.674993914,0.821580132,0.705618433
0.779251955,0.882752488,0.790849872
0.557859223,0.746899741,0.549545895
0.591361916,0.769000596,0.592837542
0.698473736,0.835747412,0.712827296
0.574942522,0.758249644,0.548259941
0.614577584,0.783949988,0.624043753
0.74022178,0.860361424,0.725704184
0.707151506,0.840923008,0.701960756
0.706113776,0.840305764,0.7134138
0.549737902,0.741443121,0.550097099
0.676502443,0.822497686,0.702343216
0.80327983,0.896258797,0.775329548
0.546242708,0.739082342,0.548699818
0.652428797,0.807730646,0.600173404
0.703791228,0.838922659,0.745507331
0.742394051,0.861622917,0.775369932
0.763026737,0.873514017,0.788442631
0.749408507,0.865683838,0.748120404
0.714880362,0.84550598,0.708230372
0.593620983,0.770468028,0.56131683
0.713364303,0.844608965,0.689777506
0.840975817,0.917047336,0.814977528
0.679370125,0.824239119,0.688301157
0.585047091,0.764883711,0.549856869
0.594005402,0.770717459,0.5958442
0.774360456,0.879977531,0.761330356
0.675620887,0.821961609,0.702062879
0.805452253,0.897469917,0.814862702
0.696010572,0.834272481,0.659122095
0.619470065,0.787064206,0.641077546
0.719196184,0.848054352,0.704422325
0.556095311,0.745717983,0.538573545
0.644398013,0.802744052,0.645037133
0.815429506,0.903011354,0.828050732
0.769220699,0.877052278,0.789993469
0.77660868,0.881254038,0.788722575
0.758536595,0.870940064,0.723116355
0.835447097,0.914027952,0.830544527
0.677268429,0.8229632,0.706243837
0.818183919,0.904535195,0.811532102
0.755317833,0.869090233,0.777599744
0.788792602,0.888139968,0.775970041
0.705586327,0.839991861,0.674943106
0.628899394,0.793031774,0.614891649
0.740867654,0.860736693,0.736071703
0.490696058,0.700497008,0.500446799
0.74708207,0.864339094,0.728303025
0.613715057,0.783399679,0.631871533
0.77655462,0.881223366,0.735543487
0.800573461,0.894747708,0.80271524
0.574673353,0.758072129,0.579732222
0.78073975,0.883594788,0.768071753
0.635017251,0.796879697,0.593702739
0.54055827,0.735226679,0.526430545
0.689939219,0.830625799,0.683281194
0.824786999,0.908177845,0.792790218
0.719416836,0.848184435,0.77675263
0.715501043,0.845872947,0.730511872
0.895390363,0.946250687,0.883801159
0.721254113,0.849266809,0.732964754
0.574314184,0.757835196,0.598814174
0.894099009,0.945568088,0.893528128
0.754233865,0.868466387,0.777748218
0.641943003,0.801213456,0.648770323
0.628860868,0.793007483,0.60407245
0.758239008,0.870769205,0.71815769
0.634361957,0.796468428,0.59387854
0.797935758,0.893272499,0.775219873
0.634933173,0.79682694,0.642457231
0.768551245,0.876670545,0.745692428
0.848576012,0.921181856,0.829027891
0.796006479,0.892191952,0.805220919
0.806979198,0.898320209,0.803497133
0.874350323,0.935067015,0.830692568
0.796664229,0.89256049,0.812446248
0.658215196,0.811304626,0.615660951
0.641641985,0.801025583,0.651317698
0.407284687,0.638188598,0.440028673
0.750067873,0.866064589,0.753412652
0.840266359,0.916660438,0.851059067
0.654449215,0.808980355,0.656099391
0.687998428,0.829456707,0.634514825
0.873149531,0.934424706,0.873177307
0.691354832,0.8314775,0.717034036
0.76028582,0.871943702,0.721596635
0.791531501,0.889680561,0.76559618
0.759347731,0.871405606,0.744879039
0.685146971,0.827736052,0.674600053
0.558139198,0.747087142,0.511959737
0.713305139,0.844573939,0.704156526
0.810638171,0.90035447,0.832209039
0.609730561,0.780852458,0.614722048
0.652044861,0.807492948,0.615467163
0.74802402,0.864883819,0.706635968
0.563710261,0.750806407,0.594515907
0.716837021,0.846662283,0.698724326
0.66998594,0.818526689,0.682872144
0.673780906,0.820841584,0.649435638
0.738322623,0.859257018,0.730974764
0.724508024,0.851180371,0.734763869
0.616901082,0.785430507,0.641768782
0.702292372,0.838028861,0.653263459
0.754599321,0.868676764,0.768240595
0.793451269,0.890758816,0.778882536
0.664294093,0.815042387,0.669054712
0.8732789,0.934493927,0.882337786
0.676262862,0.82235203,0.653633308
0.673252304,0.820519533,0.678030946
0.82536272,0.908494755,0.754049966
0.652659879,0.807873678,0.637774148
0.608634491,0.7801503,0.615116625
0.68449343,0.827341181,0.680452008
0.782397398,0.884532305,0.754156137
0.584372083,0.764442335,0.554280205
0.632017339,0.794995182,0.659623196
0.697215127,0.834994088,0.706778611
0.540617059,0.735266659,0.546862324
0.730022217,0.854413376,0.732097569
0.729375909,0.854035075,0.739930963
0.749002474,0.86544929,0.735633185
0.754303685,0.868506583,0.753108717
0.434392779,0.659084804,0.421717562
0.699262474,0.836219155,0.691269125
0.691715816,0.831694545,0.646737716
0.753793993,0.868213104,0.733007757
0.47868319,0.691869344,0.473462321
0.704123593,0.839120726,0.702338028
0.690804484,0.831146488,0.708347598
0.559758839,0.748170327,0.550771948
0.566285308,0.752519308,0.50281056
0.650393587,0.80646983,0.673065249
0.802474543,0.895809434,0.817793942
0.718539208,0.847666921,0.707322546
0.679106338,0.824079085,0.664153929
0.743675382,0.862366153,0.743433896
0.795148684,0.891711099,0.805682365
0.778287806,0.882206215,0.772161669
0.686189302,0.82836544,0.696880584
0.796756396,0.89261212,0.774448111
0.620788575,0.787901374,0.587517798
0.445449906,0.667420337,0.44996055
0.728418134,0.853474155,0.718529027
0.706120212,0.840309593,0.710707555
0.586153976,0.765606933,0.58269121
0.836509085,0.914608706,0.845978995
0.757981284,0.870621206,0.780041509
0.687853958,0.829369615,0.679090246
0.867002868,0.931129888,0.843879598
0.622963105,0.789280118,0.64108489
0.596938633,0.772618038,0.64009653
0.698691728,0.835877819,0.66675396
0.776840461,0.881385535,0.786223178
0.701121757,0.837330136,0.666984224
0.774832903,0.880245933,0.766425354
0.729162543,0.853910149,0.732179072
0.645555806,0.803464875,0.65949043
0.553166749,0.743751806,0.538834722
0.633383679,0.795854056,0.615492196
0.707384023,0.841061248,0.726391579
0.622963225,0.789280194,0.630043118
0.826302234,0.90901168,0.795033989
0.858935041,0.926787484,0.844677568
0.728319662,0.853416465,0.685206811
0.614997597,0.784217825,0.653680658
0.693641213,0.832851255,0.684672437
0.678916211,0.823963719,0.714717604
0.689624072,0.830436073,0.651039042
0.673311721,0.820555739,0.67971047
0.648228713,0.80512652,0.661175704
0.742466774,0.861665117,0.748521055
0.77812597,0.882114488,0.789015118
0.516059653,0.718372921,0.4957445
0.652473414,0.807758264,0.658996096
0.565828469,0.752215706,0.543910125
0.844526629,0.9189813,0.832880721
0.661506967,0.813330786,0.681985097
0.826777035,0.909272805,0.809258978
0.671912232,0.819702526,0.657471108
0.708500078,0.841724467,0.6736565
0.502116525,0.70860181,0.476479189
0.816055887,0.903358117,0.774936544
0.748589132,0.865210455,0.739398942
0.698244501,0.835610257,0.6486216
0.655845409,0.80984283,0.664434161
0.674275537,0.821142824,0.673661291
0.82074904,0.905952008,0.819360725
0.518855572,0.7203163,0.521896132
0.593575795,0.770438703,0.584327589
0.802502828,0.895825222,0.745580969
0.786628895,0.88692102,0.813457259
0.593884574,0.770639069,0.607138095
0.696317382,0.834456339,0.715754006
0.858797261,0.926713149,0.858426903
0.800813094,0.894881609,0.824660824
0.737588068,0.858829475,0.735303054
0.582144674,0.762984059,0.575442895
0.578792592,0.760784196,0.621760111
0.859972681,0.92734712,0.863162294
0.702939264,0.838414733,0.663129518
0.873897344,0.934824767,0.842728194
0.682814051,0.826325633,0.696717723
0.802970542,0.896086236,0.79645697
0.786059809,0.886600141,0.81524097
0.471902126,0.686951328,0.455850598
0.59668406,0.772453273,0.575936052
0.721293719,0.849290127,0.660627669
0.751374182,0.866818425,0.723499608
0.54454641,0.737933879,0.538786151
0.712456025,0.844071102,0.679743814
0.693750914,0.832917111,0.70754923
0.66927775,0.818093974,0.65460729
0.765616344,0.874995054,0.772860003
0.739815921,0.860125526,0.718388274
0.737170275,0.858586207,0.712137305
0.793864863,0.890990944,0.785925283
0.575299532,0.758485024,0.542420257
0.649194708,0.805726199,0.645105455
0.802976647,0.896089642,0.802537133
0.59948444,0.774263805,0.581224143
0.71824187,0.847491516,0.722651739
0.709046071,0.842048735,0.673352892
0.556066268,0.74569851,0.600021806
0.783291789,0.885037733,0.795237527
0.635680931,0.797296012,0.635750992
0.750629295,0.866388651,0.759607845
0.70359569,0.83880611,0.709114482
0.493454197,0.70246295,0.469473699
0.820574165,0.905855488,0.831669047
0.716471628,0.846446471,0.738290551
0.55900713,0.747667794,0.602780997
0.701382819,0.837486011,0.715541787
0.703044164,0.838477289,0.716954925
0.807089506,0.898381604,0.817586873
0.700700115,0.837078321,0.692234031
0.482827885,0.694858176,0.516098971
0.65780903,0.811054271,0.645959274
0.401625436,0.633739249,0.417185808
0.736235875,0.858041884,0.755348469
0.829092367,0.910545093,0.832481666
0.624439117,0.790214602,0.601317873
0.742103959,0.86145456,0.704898186
0.888938425,0.942835312,0.890501799
0.749646188,0.865821106,0.777245498
0.717885829,0.847281434,0.709641046
0.623004431,0.789306297,0.684504542
0.76845563,0.876616011,0.750088482
0.79618253,0.892290609,0.816872719
0.484847053,0.696309596,0.498548665
0.648454082,0.805266466,0.682156377
0.608431914,0.780020457,0.640580469
0.557403959,0.74659491,0.564345052
0.692640078,0.832250009,0.677260823
0.753944216,0.868299612,0.736315851
0.719303734,0.84811776,0.698858168
0.655281792,0.809494776,0.704168302
0.67232118,0.819951938,0.692578772
0.682277726,0.826001045,0.681789801
0.698977324,0.836048637,0.710148067
0.582489877,0.763210244,0.552357457
0.770725953,0.877909992,0.751873633
0.850597094,0.922278209,0.833468192
0.688506519,0.829762929,0.61304285
0.606445803,0.778746302,0.57802571
0.394625204,0.628192012,0.386139503
0.480996436,0.693539066,0.431983118
0.59196844,0.769394853,0.624592299
0.771824295,0.878535313,0.753359962
0.738543011,0.859385252,0.71118855
0.796725338,0.892594722,0.811349053
0.744061853,0.8625902,0.741457194
0.549756789,0.741455858,0.581380483
0.534712479,0.73124037,0.555063606
0.755563979,0.869231833,0.771519017
0.604306996,0.777371852,0.618147691
0.714621342,0.845352791,0.679608318
0.658330784,0.811375859,0.655578419
0.704038934,0.83907028,0.72613266
0.619086444,0.786820465,0.63117435
0.791306991,0.889554378,0.771534437
0.818173521,0.904529447,0.769729888
0.684061855,0.827080319,0.650694031
0.751885134,0.867113104,0.787221175
0.630717139,0.79417702,0.630043207
0.566110118,0.752402896,0.582289152
0.710001618,0.842615938,0.665070176
0.822099776,0.90669718,0.83099153
0.559552089,0.748032145,0.553957426
0.638805334,0.799252985,0.627049491
0.499146074,0.706502706,0.479080719
0.682325965,0.826030244,0.67882232
0.676059651,0.822228467,0.665037447
0.77669074,0.881300596,0.770473436
0.634322526,0.796443674,0.65475672
0.774163794,0.879865782,0.808258743
0.82865519,0.910304999,0.798772683
0.72680378,0.852527876,0.724134648
0.529164442,0.727436899,0.5314767
0.719611776,0.848299343,0.75166245
0.861967711,0.928422162,0.849492546
0.799434405,0.894110958,0.800365359
0.673196898,0.820485769,0.670029468
0.837227676,0.915001462,0.85274649
0.826346408,0.909035977,0.817266263
0.673225021,0.820502908,0.668400956
0.586004964,0.765509611,0.610190246
0.823067051,0.907230429,0.821318867
0.699145016,0.83614892,0.728314334
0.887071574,0.941844771,0.884605048
0.774170323,0.879869492,0.777860141
0.53970441,0.734645772,0.549504298
0.769578906,0.877256465,0.786375981
0.72442176,0.851129696,0.733198049
0.794238075,0.891200356,0.790596028
0.659320185,0.811985336,0.628268316
0.778354999,0.882244297,0.767882398
0.615015424,0.784229191,0.609255924
0.884267067,0.940354756,0.87936465
0.770910224,0.878014934,0.813855446
0.670883299,0.81907466,0.707427696
0.712010028,0.843806867,0.77200713
0.824269986,0.907893158,0.809410583
0.88193179,0.939112235,0.864569787
0.718490204,0.847638015,0.638952142
0.852187977,0.92314028,0.83917329
0.609594083,0.780765063,0.633453476
0.716038947,0.846190845,0.692440593
0.83817091,0.915516745,0.835514257
0.782327796,0.88449296,0.784455109
0.642317708,0.801447259,0.627820004
0.701793311,0.837731049,0.708773667
0.80522115,0.897341156,0.800723261
0.434649212,0.659279312,0.420348508
0.519253371,0.720592375,0.534476667
0.538122248,0.733568162,0.564290128
0.785067487,0.886040342,0.770221663
0.599052284,0.773984679,0.606191768
0.839187659,0.916071864,0.843905024
0.802369814,0.895750977,0.793091774
0.789234838,0.8883889,0.782508063
0.775171477,0.88043823,0.794243835
0.833330616,0.912869441,0.828163728
0.716911245,0.846706115,0.735847764
0.796004222,0.892190687,0.756695863
0.588892398,0.767393249,0.582133485
0.813387321,0.901879881,0.800463725
0.697375405,0.835090058,0.71683767
0.709467598,0.842298996,0.665248602
0.843255588,0.91828949,0.8608646
0.774676739,0.880157224,0.79223705
0.69721592,0.834994563,0.712740775
0.841718394,0.917452121,0.854546111
0.75267556,0.867568764,0.768594977
0.630165332,0.793829536,0.617438146
0.73148988,0.855271816,0.72979734
0.79735098,0.892945116,0.790523085
0.752078894,0.867224823,0.772582855
0.470481724,0.685916703,0.503068097
0.58722954,0.766309037,0.548215685
0.628365712,0.79269522,0.673678359
0.727438404,0.852899997,0.743388487
0.807338674,0.898520269,0.803579439
0.710740008,0.843053977,0.72755671
